county,coordinates,state
Iredell,"(35.8310501, -80.89865019999999)",North Carolina
Sampson,"(34.9197548, -78.3842227)",North Carolina
Gaston,"(35.2895651, -81.20781640000001)",North Carolina
Guilford,"(36.0899873, -79.8296743)",North Carolina
Hoke,"(35.0432488, -79.24511489999999)",North Carolina
Lincoln,"(35.4637028, -81.20781640000001)",North Carolina
Moore,"(35.3674493, -79.4703885)",North Carolina
New Hanover,"(34.2154913, -77.88245959999999)",North Carolina
Carteret,"(34.9019263, -76.5488232)",North Carolina
Davidson,"(35.7748479, -80.1875065)",North Carolina
Franklin,"(36.0741417, -78.2426748)",North Carolina
Orange,"(36.0263022, -79.1096901)",North Carolina
Pasquotank,"(36.2927068, -76.317414)",North Carolina
Pitt,"(35.5589221, -77.4242972)",North Carolina
Rowan,"(35.6303455, -80.54384499999999)",North Carolina
Stanly,"(35.30145540000001, -80.23213129999999)",North Carolina
Buncombe,"(35.59313770000001, -82.4752757)",North Carolina
Catawba,"(35.6840748, -81.2518833)",North Carolina
Cherokee,"(35.1134803, -84.05902900000001)",North Carolina
Cumberland,"(34.9542604, -78.74762079999999)",North Carolina
Davie,"(35.9367033, -80.5882803)",North Carolina
Granville,"(36.2799451, -78.6114999)",North Carolina
Henderson,"(35.3725873, -82.4319405)",North Carolina
Lee,"(35.4693744, -79.1548533)",North Carolina
Nash,"(35.9597948, -77.973865)",North Carolina
Robeson,"(34.6383858, -79.1096901)",North Carolina
Scotland,"(34.8451203, -79.4703885)",North Carolina
Union,"(34.9338651, -80.54384499999999)",North Carolina
Alamance,"(36.0117388, -79.4253776)",North Carolina
Vance,"(36.3479057, -78.4297187)",North Carolina
Montgomery,"(35.3587922, -79.87448359999999)",North Carolina
Randolph,"(35.7449531, -79.8296743)",North Carolina
Transylvania,"(35.2190534, -82.7778579)",North Carolina
Bertie,"(36.0245185, -76.964306)",North Carolina
Burke,"(35.7616931, -81.73494199999999)",North Carolina
Caldwell,"(35.9227448, -81.5596427)",North Carolina
Cleveland,"(35.361354, -81.6035062)",North Carolina
Duplin,"(34.8840095, -78.0195387)",North Carolina
Hertford,"(36.3761772, -77.0564464)",North Carolina
Lenoir,"(35.2326725, -77.6077865)",North Carolina
McDowell,"(35.6984405, -82.08429009999999)",North Carolina
Northampton,"(36.4159635, -77.4242972)",North Carolina
Beaufort,"(35.4613504, -76.91820969999999)",North Carolina
Greene,"(35.5013936, -77.69941969999999)",North Carolina
Person,"(36.3528221, -78.9288242)",North Carolina
Surry,"(36.3743453, -80.6770787)",North Carolina
Edgecombe,"(35.8840053, -77.6536125)",North Carolina
Perquimans,"(36.1329763, -76.4100267)",North Carolina
Polk,"(35.2686842, -82.1713632)",North Carolina
Alleghany,"(36.4940839, -81.1196075)",North Carolina
Caswell,"(36.3860217, -79.29021329999999)",North Carolina
Columbus,"(34.2548658, -78.74762079999999)",North Carolina
Currituck,"(36.4189826, -75.94632399999999)",North Carolina
Halifax,"(36.2646764, -77.6077865)",North Carolina
Pamlico,"(35.1337865, -76.6874701)",North Carolina
Washington,"(35.8120333, -76.5950555)",North Carolina
Yadkin,"(36.2023597, -80.6770787)",North Carolina
Alexander,"(35.8974199, -81.20781640000001)",North Carolina
Rutherford,"(35.4258737, -81.909826)",North Carolina
Anson,"(34.9054732, -80.1875065)",North Carolina
Clay,"(35.0964003, -83.7199136)",North Carolina
Martin,"(35.8733053, -77.1485163)",North Carolina
Rockingham,"(36.4335041, -79.8296743)",North Carolina
Wilkes,"(36.202858, -81.2518833)",North Carolina
Dare,"(35.6549619, -75.62080879999999)",North Carolina
Gates,"(36.4202077, -76.6874701)",North Carolina
Macon,"(35.1197519, -83.33618799999999)",North Carolina
Mitchell,"(36.0277763, -82.1496049)",North Carolina
Stokes,"(36.4244396, -80.23213129999999)",North Carolina
Bladen,"(34.5882404, -78.5660852)",North Carolina
Chowan,"(36.1354131, -76.6181655)",North Carolina
Haywood,"(35.624394, -82.99316069999999)",North Carolina
Ashe,"(36.4339674, -81.47183869999999)",North Carolina
Warren,"(36.4352131, -78.0195387)",North Carolina
Pender,"(34.5170729, -77.8367282)",North Carolina
Richmond,"(35.003045, -79.7848422)",North Carolina
Jones,"(35.0306293, -77.3324425)",North Carolina
Jackson,"(35.3265409, -83.12200740000002)",North Carolina
Tyrrell,"(35.8925537, -76.17837390000001)",North Carolina
Madison,"(35.8237518, -82.6915429)",North Carolina
Camden,"(36.2600564, -76.0391909)",North Carolina
Graham,"(35.3634623, -83.804868)",North Carolina
Hyde,"(35.3777712, -76.17837390000001)",North Carolina
Swain,"(35.4328955, -83.46435509999999)",North Carolina
Yancey,"(35.888897, -82.34518899999999)",North Carolina
Avery,"(36.1198414, -81.909826)",North Carolina
Forrest,"(31.2148677, -89.28472510000002)",Mississippi
Copiah,"(31.9012453, -90.37483540000001)",Mississippi
Leflore,"(33.5274427, -90.37483540000001)",Mississippi
Pearl River,"(30.8034081, -89.62516459999999)",Mississippi
Hinds,"(32.2648353, -90.37483540000001)",Mississippi
Hancock,"(30.3887582, -89.5120084)",Mississippi
Monroe,"(33.8773585, -88.55653099999999)",Mississippi
Harrison,"(30.432087, -89.0179332)",Mississippi
Jackson,"(30.4278212, -88.55653099999999)",Mississippi
Bolivar,"(33.8829962, -90.8294002)",Mississippi
Coahoma,"(34.1960298, -90.6393702)",Mississippi
DeSoto,"(34.9065453, -89.9626799)",Mississippi
Madison,"(32.6729459, -90.0373201)",Mississippi
Perry,"(31.1673115, -89.0179332)",Mississippi
Holmes,"(33.16886600000001, -90.0746767)",Mississippi
Jones,"(31.5343241, -89.1705998)",Mississippi
Scott,"(32.4456315, -89.4742177)",Mississippi
Walthall,"(31.125165, -90.11206960000001)",Mississippi
Wilkinson,"(31.1646163, -91.28910359999999)",Mississippi
Winston,"(33.1650338, -89.0179332)",Mississippi
Yazoo,"(32.8078912, -90.37483540000001)",Mississippi
Adams,"(31.5305353, -91.28910359999999)",Mississippi
Franklin,"(31.4883928, -90.86751339999999)",Mississippi
Humphreys,"(33.1677834, -90.52578229999999)",Mississippi
Lafayette,"(34.4186994, -89.4742177)",Mississippi
Lawrence,"(31.5369786, -90.0746767)",Mississippi
Lee,"(34.2354138, -88.7108964)",Mississippi
Marshall,"(34.7729491, -89.4742177)",Mississippi
Pike,"(31.1704959, -90.37483540000001)",Mississippi
Rankin,"(32.2653668, -89.9253233)",Mississippi
Smith,"(32.0826588, -89.4742177)",Mississippi
Tippah,"(34.76880970000001, -88.86469799999999)",Mississippi
Attala,"(33.1683267, -89.62516459999999)",Mississippi
Clay,"(33.65678380000001, -88.8263006)",Mississippi
George,"(30.8431226, -88.6723578)",Mississippi
Grenada,"(33.7516314, -89.81303559999999)",Mississippi
Itawamba,"(34.2317882, -88.4016041)",Mississippi
Leake,"(32.8073509, -89.4742177)",Mississippi
Lincoln,"(31.5359248, -90.52578229999999)",Mississippi
Lowndes,"(33.473423, -88.4403883)",Mississippi
Panola,"(34.4198016, -89.9253233)",Mississippi
Simpson,"(31.9017736, -89.9253233)",Mississippi
Tunica,"(34.6407083, -90.4125181)",Mississippi
Union,"(34.459946, -88.9796776)",Mississippi
Washington,"(33.3001466, -90.9438468)",Mississippi
Chickasaw,"(33.8818791, -89.0179332)",Mississippi
Montgomery,"(33.5274427, -89.62516459999999)",Mississippi
Oktibbeha,"(33.3886689, -88.90306)",Mississippi
Pontotoc,"(34.2382446, -89.0179332)",Mississippi
Sunflower,"(33.526164, -90.6773046)",Mississippi
Tate,"(34.6413971, -89.9626799)",Mississippi
Webster,"(33.5707456, -89.28472510000002)",Mississippi
Lamar,"(31.1699705, -89.4742177)",Mississippi
Marion,"(31.1708442, -89.77553379999999)",Mississippi
Tallahatchie,"(33.9302578, -90.1869644)",Mississippi
Choctaw,"(33.3914427, -89.28472510000002)",Mississippi
Newton,"(32.4440058, -89.1705998)",Mississippi
Noxubee,"(33.1605608, -88.55653099999999)",Mississippi
Calhoun,"(33.8839218, -89.3226954)",Mississippi
Prentiss,"(34.6324369, -88.5178518)",Mississippi
Benton,"(34.7712669, -89.1705998)",Mississippi
Lauderdale,"(32.4401578, -88.7108964)",Mississippi
Quitman,"(34.2863303, -90.26200419999999)",Mississippi
Yalobusha,"(33.9768292, -89.6759101)",Mississippi
Jefferson,"(31.7157817, -90.9820668)",Mississippi
Kemper,"(32.8018452, -88.7108964)",Mississippi
Neshoba,"(32.8057157, -89.1705998)",Mississippi
Sharkey,"(32.9860902, -90.8294002)",Mississippi
Amite,"(31.1683803, -90.8294002)",Mississippi
Clarke,"(32.077218, -88.7108964)",Mississippi
Covington,"(31.6732735, -89.5874819)",Mississippi
Carroll,"(33.5279848, -89.9253233)",Mississippi
Claiborne,"(31.9438205, -90.9438468)",Mississippi
Warren,"(32.3989469, -90.7913227)",Mississippi
Alcorn,"(34.8984684, -88.59517509999999)",Mississippi
Tishomingo,"(34.7615024, -88.24611829999999)",Mississippi
Jasper,"(32.0810429, -89.1705998)",Mississippi
Wayne,"(31.7130601, -88.7108964)",Mississippi
Stone,"(30.8013069, -89.1705998)",Mississippi
Greene,"(31.1646163, -88.7108964)",Mississippi
Jefferson Davis,"(31.58252809999999, -89.81303559999999)",Mississippi
Issaquena,"(32.8494351, -91.02032240000001)",Mississippi
Elmore,"(32.5647083, -86.0121573)",Alabama
Jefferson,"(33.4914122, -86.9824288)",Alabama
Limestone,"(34.78000720000001, -86.9423801)",Alabama
Montgomery,"(32.2077447, -86.17517590000001)",Alabama
Tuscaloosa,"(33.3227653, -87.460397)",Alabama
Baldwin,"(30.6010744, -87.77633329999999)",Alabama
Lee,"(32.5888702, -85.39627689999999)",Alabama
Shelby,"(33.3039292, -86.6611083)",Alabama
Madison,"(34.72397309999999, -86.49965460000001)",Alabama
St. Clair,"(33.6530112, -86.3376761)",Alabama
Calhoun,"(33.7701576, -85.80766)",Alabama
Talladega,"(33.4231716, -86.1344697)",Alabama
Chambers,"(32.9028048, -85.35496499999999)",Alabama
Mobile,"(30.6082227, -88.24611829999999)",Alabama
Walker,"(33.8563605, -87.30161319999999)",Alabama
Cullman,"(34.2011537, -86.8220341)",Alabama
Jackson,"(34.7090388, -86.0121573)",Alabama
Lamar,"(33.6923649, -88.0900762)",Alabama
Lauderdale,"(34.8840876, -87.658113)",Alabama
Washington,"(31.3422346, -88.24611829999999)",Alabama
Marion,"(34.0441174, -87.77633329999999)",Alabama
Franklin,"(34.3967457, -87.6186379)",Alabama
Houston,"(31.1318686, -85.31362179999999)",Alabama
Tallapoosa,"(32.9201244, -85.84862360000001)",Alabama
Autauga,"(32.5791817, -86.49965460000001)",Alabama
Morgan,"(34.4240875, -86.86218269999999)",Alabama
Blount,"(34.0145152, -86.49965460000001)",Alabama
Butler,"(31.6760284, -86.6611083)",Alabama
Cherokee,"(34.1665322, -85.684578)",Alabama
Chilton,"(32.944392, -86.6611083)",Alabama
Clay,"(33.279527, -85.84862360000001)",Alabama
Cleburne,"(33.6261707, -85.52002399999999)",Alabama
Colbert,"(34.7117567, -87.89424509999999)",Alabama
Dallas,"(32.2332138, -87.14228949999999)",Alabama
Etowah,"(34.0455341, -86.05296039999999)",Alabama
Lawrence,"(34.567428, -87.30161319999999)",Alabama
Marshall,"(34.3652297, -86.3376761)",Alabama
Pickens,"(33.3339954, -88.0900762)",Alabama
Pike,"(31.8395163, -86.0121573)",Alabama
Russell,"(32.3552497, -85.1894045)",Alabama
Wilcox,"(32.0105439, -87.3413599)",Alabama
Bullock,"(32.0573536, -85.7256372)",Alabama
Choctaw,"(32.0716631, -88.24611829999999)",Alabama
Coosa,"(32.8897772, -86.2196937)",Alabama
Crenshaw,"(31.6671872, -86.3376761)",Alabama
DeKalb,"(34.5211397, -85.684578)",Alabama
Lowndes,"(32.221464, -86.6611083)",Alabama
Marengo,"(32.2459085, -87.77633329999999)",Alabama
Covington,"(31.3066438, -86.49965460000001)",Alabama
Escambia,"(31.1394734, -87.14228949999999)",Alabama
Greene,"(32.9718107, -87.9334803)",Alabama
Randolph,"(33.2681523, -85.52002399999999)",Alabama
Winston,"(34.1690087, -87.3413599)",Alabama
Monroe,"(31.5119068, -87.460397)",Alabama
Macon,"(32.3731182, -85.684578)",Alabama
Bibb,"(32.9562798, -87.14228949999999)",Alabama
Fayette,"(33.6871392, -87.77633329999999)",Alabama
Hale,"(32.7859102, -87.6186379)",Alabama
Sumter,"(32.6155551, -88.24611829999999)",Alabama
Clarke,"(31.7002461, -87.77633329999999)",Alabama
Conecuh,"(31.501571, -86.9824288)",Alabama
Dale,"(31.4645298, -85.684578)",Alabama
Coffee,"(31.4751172, -86.0121573)",Alabama
Barbour,"(31.8172896, -85.35496499999999)",Alabama
Henry,"(31.4469377, -85.1894045)",Alabama
Perry,"(32.598888, -87.30161319999999)",Alabama
Geneva,"(31.0990456, -85.684578)",Alabama
Fairfax,"(38.9085472, -77.2405153)",Virginia
Virginia Beach city,"(36.8529263, -75.97798499999999)",Virginia
Loudoun,"(39.076767, -77.6536125)",Virginia
Arlington,"(38.8816208, -77.09098089999999)",Virginia
Alexandria city,"(38.8048355, -77.0469214)",Virginia
Hanover,"(37.7772071, -77.5160788)",Virginia
James City,"(37.3002132, -76.8028933)",Virginia
Prince Edward,"(37.1982888, -78.4297187)",Virginia
Prince William,"(38.7838939, -77.6077865)",Virginia
Harrisonburg city,"(38.4495688, -78.8689155)",Virginia
Chesterfield,"(37.3673217, -77.6077865)",Virginia
Spotsylvania,"(38.204165, -77.6077865)",Virginia
Stafford,"(38.4334566, -77.4242972)",Virginia
York,"(37.2103925, -76.3868797)",Virginia
Charlottesville city,"(38.0293059, -78.47667810000002)",Virginia
Goochland,"(37.74159969999999, -77.973865)",Virginia
Henrico,"(37.5059332, -77.3324425)",Virginia
Williamsburg city,"(37.2707022, -76.7074571)",Virginia
Charles City,"(37.4018216, -77.1485163)",Virginia
Richmond city,"(37.5407246, -77.4360481)",Virginia
Accomack,"(37.7063323, -75.8069082)",Virginia
Gloucester,"(37.4128281, -76.5025742)",Virginia
Newport News city,"(37.0870821, -76.4730122)",Virginia
Norfolk city,"(36.8507689, -76.28587259999999)",Virginia
Portsmouth city,"(36.8354258, -76.2982742)",Virginia
Albemarle,"(38.0567092, -78.6114999)",Virginia
Botetourt,"(37.5774613, -79.7848422)",Virginia
Franklin,"(36.9458815, -79.8296743)",Virginia
Isle of Wight,"(36.9288915, -76.6874701)",Virginia
Mecklenburg,"(36.6421724, -78.3842227)",Virginia
Suffolk city,"(36.7282054, -76.5835621)",Virginia
Amherst,"(37.5588285, -79.1096901)",Virginia
Bedford,"(37.2538794, -79.4703885)",Virginia
Culpeper,"(38.491821, -77.973865)",Virginia
Fluvanna,"(37.8532863, -78.24761459999999)",Virginia
Lee,"(36.7075931, -83.03613759999999)",Virginia
Louisa,"(37.9925909, -77.973865)",Virginia
Rockingham,"(38.5825919, -78.8835548)",Virginia
Danville city,"(36.5859718, -79.39502279999999)",Virginia
Rockbridge,"(37.8062214, -79.5153773)",Virginia
Chesapeake city,"(36.7682088, -76.2874927)",Virginia
Halifax,"(36.6945049, -78.9288242)",Virginia
Frederick,"(39.2096441, -78.2601024)",Virginia
Fredericksburg city,"(38.3031837, -77.4605399)",Virginia
Madison,"(38.436934, -78.24761459999999)",Virginia
Manassas city,"(38.7509488, -77.47526669999999)",Virginia
Mathews,"(37.3912302, -76.317414)",Virginia
Nelson,"(37.7478599, -78.8835548)",Virginia
Nottoway,"(37.1148487, -78.0195387)",Virginia
Orange,"(38.24266739999999, -77.973865)",Virginia
Roanoke,"(37.2467123, -80.1205256)",Virginia
Shenandoah,"(38.8413778, -78.5660852)",Virginia
Amelia,"(37.3212714, -77.973865)",Virginia
Fauquier,"(38.7208787, -77.79097759999999)",Virginia
Greene,"(38.3120359, -78.4524591)",Virginia
Hampton city,"(37.0298687, -76.34522179999999)",Virginia
King George,"(38.2372863, -77.1485163)",Virginia
Lynchburg city,"(37.4137536, -79.14224639999999)",Virginia
Northampton,"(37.226762, -75.9927652)",Virginia
Pittsylvania,"(36.7440186, -79.4703885)",Virginia
Poquoson city,"(37.1223664, -76.3457773)",Virginia
Prince George,"(37.1593052, -77.2405153)",Virginia
Radford city,"(37.13179239999999, -80.5764477)",Virginia
Southampton,"(36.6788512, -77.10249019999999)",Virginia
Warren,"(38.9331749, -78.24761459999999)",Virginia
Washington,"(36.7678354, -81.9534815)",Virginia
Bristol city,"(36.595142, -82.1887368)",Virginia
Galax city,"(36.6612387, -80.9239671)",Virginia
Roanoke city,"(37.2709704, -79.9414266)",Virginia
Hopewell city,"(37.3043154, -77.28720009999999)",Virginia
Lancaster,"(37.7475945, -76.5025742)",Virginia
Montgomery,"(37.2070304, -80.4103957)",Virginia
New Kent,"(37.4653757, -76.964306)",Virginia
Northumberland,"(37.9035732, -76.4100267)",Virginia
Powhatan,"(37.5643209, -77.88245959999999)",Virginia
Alleghany,"(37.8531975, -80.0534923)",Virginia
Greensville,"(36.60568860000001, -77.6077865)",Virginia
Manassas Park city,"(38.7840035, -77.4697111)",Virginia
Tazewell,"(37.124747, -81.5596427)",Virginia
Winchester city,"(39.1856597, -78.1633341)",Virginia
Wythe,"(36.9484414, -81.0848477)",Virginia
Henry,"(36.6588867, -79.96403389999999)",Virginia
King William,"(37.7372121, -77.1485163)",Virginia
Petersburg city,"(37.2279279, -77.40192669999999)",Virginia
Smyth,"(36.8687921, -81.5596427)",Virginia
Brunswick,"(36.7570589, -77.8367282)",Virginia
Buckingham,"(37.50700800000001, -78.5660852)",Virginia
Campbell,"(37.221014, -79.1096901)",Virginia
Carroll,"(36.6778699, -80.7214417)",Virginia
Clarke,"(39.15165830000001, -77.973865)",Virginia
Franklin city,"(36.6776507, -76.9224608)",Virginia
King and Queen,"(37.7298568, -76.8951551)",Virginia
Page,"(38.63013309999999, -78.52065)",Virginia
Surry,"(37.1185515, -76.8720961)",Virginia
Waynesboro city,"(38.0684692, -78.8894682)",Virginia
Augusta,"(38.2004562, -79.24511489999999)",Virginia
Sussex,"(36.9058167, -77.2405153)",Virginia
Cumberland,"(37.5175385, -78.24761459999999)",Virginia
Salem city,"(37.2934681, -80.05476259999999)",Virginia
Buena Vista city,"(37.7343004, -79.35392379999999)",Virginia
Caroline,"(38.0445557, -77.2864879)",Virginia
Emporia city,"(36.6859829, -77.5424809)",Virginia
Lexington city,"(37.78402080000001, -79.4428157)",Virginia
Pulaski,"(37.0583986, -80.6770787)",Virginia
Richmond,"(37.9175609, -76.7105632)",Virginia
Westmoreland,"(38.112732, -76.7798172)",Virginia
Wise,"(37.0240877, -82.605118)",Virginia
Charlotte,"(37.0467412, -78.6114999)",Virginia
Staunton city,"(38.149576, -79.0716958)",Virginia
Appomattox,"(37.402489, -78.792953)",Virginia
Giles,"(37.3132885, -80.6770787)",Virginia
Russell,"(36.9904385, -82.08429009999999)",Virginia
Buchanan,"(37.2403134, -81.9971108)",Virginia
Craig,"(37.44658950000001, -80.23213129999999)",Virginia
Dinwiddie,"(37.0769043, -77.6536125)",Virginia
Lunenburg,"(36.92614349999999, -78.24761459999999)",Virginia
Rappahannock,"(38.6762327, -78.1564432)",Virginia
Floyd,"(36.9446308, -80.32131059999999)",Virginia
Middlesex,"(37.6040106, -76.5257007)",Virginia
Colonial Heights city,"(37.244039, -77.4102607)",Virginia
Fairfax city,"(38.84622359999999, -77.30637329999999)",Virginia
Scott,"(36.6815794, -82.605118)",Virginia
Falls Church city,"(38.88233400000001, -77.1710914)",Virginia
Essex,"(37.9671684, -76.964306)",Virginia
Norton city,"(36.933433, -82.6290459)",Virginia
Patrick,"(36.6886252, -80.32131059999999)",Virginia
Highland,"(38.3999743, -79.60528839999999)",Virginia
Grayson,"(36.6721195, -81.20781640000001)",Virginia
Covington city,"(37.7934585, -79.99394629999999)",Virginia
Dickenson,"(37.0929465, -82.34518899999999)",Virginia
Bland,"(37.0924986, -81.1196075)",Virginia
Bath,"(38.111733, -79.6502105)",Virginia
Martinsville city,"(36.6915262, -79.8725386)",Virginia
Williamson,"(35.9179271, -86.86218269999999)",Tennessee
Davidson,"(36.1342563, -86.8220341)",Tennessee
Shelby,"(35.1268552, -89.9253233)",Tennessee
Sullivan,"(36.4933147, -82.34518899999999)",Tennessee
Knox,"(35.9874629, -83.9419784)",Tennessee
Hamilton,"(35.1618966, -85.14793639999999)",Tennessee
Jefferson,"(36.0417825, -83.46435509999999)",Tennessee
Rutherford,"(35.7724263, -86.3376761)",Tennessee
Campbell,"(36.3817326, -84.1857115)",Tennessee
Sevier,"(35.8271682, -83.5070203)",Tennessee
Cheatham,"(36.184749, -87.10237459999999)",Tennessee
Robertson,"(36.5250666, -86.86218269999999)",Tennessee
Sumner,"(36.4718084, -86.49965460000001)",Tennessee
Cumberland,"(35.8994729, -85.02334599999999)",Tennessee
Dyer,"(36.0445248, -89.436391)",Tennessee
Montgomery,"(36.4960406, -87.460397)",Tennessee
Washington,"(36.3321016, -82.5185837)",Tennessee
Wilson,"(36.1626241, -86.2970998)",Tennessee
Anderson,"(36.0809574, -84.2278796)",Tennessee
Blount,"(35.6710541, -83.8473015)",Tennessee
Bradley,"(35.1937778, -84.8567932)",Tennessee
Dickson,"(36.1459799, -87.30161319999999)",Tennessee
Greene,"(36.1347943, -82.82097399999999)",Tennessee
Hamblen,"(36.2054334, -83.2934086)",Tennessee
Maury,"(35.6195242, -87.14228949999999)",Tennessee
Tipton,"(35.5217179, -89.7379958)",Tennessee
Carroll,"(35.9917193, -88.4016041)",Tennessee
Cocke,"(35.9359517, -83.12200740000002)",Tennessee
Fayette,"(35.1257427, -89.4742177)",Tennessee
Monroe,"(35.471793, -84.2278796)",Tennessee
Putnam,"(36.134602, -85.47880649999999)",Tennessee
Roane,"(35.836117, -84.56414699999999)",Tennessee
Scott,"(36.3976209, -84.5222189)",Tennessee
Chester,"(35.4270939, -88.6723578)",Tennessee
Franklin,"(35.1946865, -86.05296039999999)",Tennessee
Gibson,"(35.9969735, -88.86469799999999)",Tennessee
Houston,"(36.283619, -87.658113)",Tennessee
Loudon,"(35.7374411, -84.3121264)",Tennessee
Marion,"(35.0928512, -85.64348700000001)",Tennessee
McMinn,"(35.4037048, -84.6479124)",Tennessee
Perry,"(35.6786596, -87.89424509999999)",Tennessee
Claiborne,"(36.4830423, -83.63484299999999)",Tennessee
DeKalb,"(35.9728357, -85.80766)",Tennessee
Grundy,"(35.4013452, -85.684578)",Tennessee
Hardin,"(35.1142443, -88.24611829999999)",Tennessee
Lincoln,"(35.1239397, -86.6207943)",Tennessee
Madison,"(35.6479574, -88.86469799999999)",Tennessee
Overton,"(36.3880346, -85.31362179999999)",Tennessee
Bedford,"(35.4702472, -86.4592091)",Tennessee
Hawkins,"(36.4445545, -82.95015579999999)",Tennessee
Lewis,"(35.4962054, -87.5000082)",Tennessee
White,"(35.9189882, -85.52002399999999)",Tennessee
Benton,"(36.1170244, -88.050979)",Tennessee
Cannon,"(35.8070317, -86.05296039999999)",Tennessee
Macon,"(36.4983882, -85.971322)",Tennessee
Meigs,"(35.519359, -84.79420909999999)",Tennessee
Unicoi,"(36.073032, -82.5185837)",Tennessee
Smith,"(36.2388468, -85.971322)",Tennessee
Bledsoe,"(35.6028856, -85.2308414)",Tennessee
Carter,"(36.2638604, -82.12783999999999)",Tennessee
Hardeman,"(35.1229172, -89.0179332)",Tennessee
Johnson,"(36.4585672, -81.8224362)",Tennessee
Morgan,"(36.1004285, -84.6479124)",Tennessee
Trousdale,"(36.396385, -86.15482689999999)",Tennessee
Union,"(36.3194272, -83.804868)",Tennessee
Weakley,"(36.3428865, -88.7108964)",Tennessee
Coffee,"(35.4576849, -86.05296039999999)",Tennessee
Haywood,"(35.593858, -89.2621216)",Tennessee
Henry,"(36.3369938, -88.24611829999999)",Tennessee
McNairy,"(35.1183208, -88.55653099999999)",Tennessee
Obion,"(36.3469439, -89.1705998)",Tennessee
Fentress,"(36.37106, -84.8984775)",Tennessee
Giles,"(35.0894745, -86.9824288)",Tennessee
Lawrence,"(35.2761735, -87.460397)",Tennessee
Marshall,"(35.4792517, -86.7818523)",Tennessee
Warren,"(35.7115652, -85.80766)",Tennessee
Wayne,"(35.282369, -87.77633329999999)",Tennessee
Humphreys,"(36.0245773, -87.7369607)",Tennessee
Clay,"(36.5701766, -85.56121)",Tennessee
Grainger,"(36.3059333, -83.54965659999999)",Tennessee
Hickman,"(35.80127969999999, -87.460397)",Tennessee
Lauderdale,"(35.7838834, -89.6628111)",Tennessee
Sequatchie,"(35.3469428, -85.39627689999999)",Tennessee
Jackson,"(36.4004931, -85.64348700000001)",Tennessee
Polk,"(35.1371578, -84.56414699999999)",Tennessee
Stewart,"(36.5023236, -87.77633329999999)",Tennessee
Henderson,"(35.6427245, -88.4016041)",Tennessee
Decatur,"(35.595087, -88.1291387)",Tennessee
Lake,"(36.3270676, -89.49311759999999)",Tennessee
Van Buren,"(35.6996916, -85.47880649999999)",Tennessee
Moore,"(35.2700506, -86.357952)",Tennessee
Rhea,"(35.5927914, -84.981754)",Tennessee
Crockett,"(35.7812386, -89.1324866)",Tennessee
Pickett,"(36.5541091, -85.14793639999999)",Tennessee
Hancock,"(36.5456022, -83.2077645)",Tennessee
Jefferson,"(29.6498691, -90.11206960000001)",Louisiana
Orleans,"(30.1126874, -89.8879304)",Louisiana
Caddo,"(32.6136798, -93.86553029999999)",Louisiana
St. Charles,"(29.9273657, -90.3371889)",Louisiana
St. Tammany,"(30.4357418, -89.9253233)",Louisiana
Terrebonne,"(29.2299682, -90.7532809)",Louisiana
Bossier,"(32.7551322, -93.66232389999999)",Louisiana
Lafourche,"(29.6952295, -90.52578229999999)",Louisiana
St. John the Baptist,"(30.1118331, -90.4879916)",Louisiana
St. Bernard,"(29.879791, -89.3226954)",Louisiana
Ascension,"(30.2017295, -90.9438468)",Louisiana
East Baton Rouge,"(30.5693593, -91.09693999999999)",Louisiana
Washington,"(30.80392599999999, -90.0746767)",Louisiana
Assumption,"(29.9232544, -91.09693999999999)",Louisiana
Calcasieu,"(30.2089286, -93.33889169999999)",Louisiana
Iberia,"(29.4992629, -91.7538817)",Louisiana
Iberville,"(30.2899179, -91.4048249)",Louisiana
Lafayette,"(30.1895142, -92.02731899999999)",Louisiana
Livingston,"(30.4340146, -90.6773046)",Louisiana
Plaquemines,"(29.3240045, -89.4742177)",Louisiana
St. James,"(30.0179292, -90.7913227)",Louisiana
St. Landry,"(30.6036535, -92.0665197)",Louisiana
Webster,"(32.7641355, -93.33889169999999)",Louisiana
West Baton Rouge,"(30.4751202, -91.3276422)",Louisiana
Catahoula,"(31.7053083, -91.9099238)",Louisiana
De Soto,"(32.0310567, -93.66232389999999)",Louisiana
Rapides,"(31.1461104, -92.539603)",Louisiana
Tangipahoa,"(30.8760151, -90.5120391)",Louisiana
Avoyelles,"(30.9711824, -92.0665197)",Louisiana
Beauregard,"(30.7611484, -93.33889169999999)",Louisiana
Bienville,"(32.4107403, -93.0175712)",Louisiana
Claiborne,"(32.7722557, -93.0175712)",Louisiana
Evangeline,"(30.7821781, -92.38136209999999)",Louisiana
Ouachita,"(32.4271852, -92.2236667)",Louisiana
St. Mary,"(29.502976, -91.44346900000001)",Louisiana
Acadia,"(30.2297347, -92.38136209999999)",Louisiana
Allen,"(30.5887484, -92.8577105)",Louisiana
Grant,"(31.6943716, -92.539603)",Louisiana
Lincoln,"(32.598888, -92.6983868)",Louisiana
Natchitoches,"(31.7607195, -93.08627489999999)",Louisiana
Richland,"(32.3887281, -91.7928402)",Louisiana
St. Martin,"(30.2395901, -91.7538817)",Louisiana
Vernon,"(31.1320009, -93.17796589999999)",Louisiana
Jackson,"(32.2399791, -92.539603)",Louisiana
Jefferson Davis,"(30.2672346, -92.8178291)",Louisiana
