index,state,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,subtropical_storm_count,dissipating_storm_count,county
Gillespie,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Gillespie
Bastrop,Texas,0,0,0,0,0,1,3,0,1,0,0,0,0,Bastrop
Lee,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Lee
Orange,Texas,0,0,0,0,0,0,2,0,0,0,0,0,0,Orange
Tyler,Texas,0,0,0,0,0,0,6,0,5,0,0,0,0,Tyler
Trinity,Texas,1,0,0,0,0,1,3,0,8,0,0,0,0,Trinity
Menard,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Menard
Tom Green,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Tom Green
Coke,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Coke
Mitchell,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Mitchell
San Patricio,Texas,3,0,0,0,0,3,4,0,1,0,0,0,0,San Patricio
Bell,Texas,0,0,0,0,0,0,2,0,4,0,0,0,0,Bell
Bosque,Texas,0,0,0,0,0,0,1,0,10,1,0,0,0,Bosque
Tarrant,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,Tarrant
Cooke,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,Cooke
Austin,Texas,0,0,0,0,0,2,2,0,1,0,0,0,0,Austin
Washington,Texas,0,0,0,0,0,0,4,0,5,0,0,0,0,Washington
Burleson,Texas,1,0,0,0,0,1,4,0,5,0,0,0,0,Burleson
Milam,Texas,1,0,0,0,0,1,3,0,6,0,0,0,0,Milam
Falls,Texas,0,0,0,0,0,0,2,0,6,1,0,0,0,Falls
Fort Bend,Texas,3,0,0,0,0,3,8,2,10,0,0,0,0,Fort Bend
Medina,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,Medina
Brazos,Texas,0,0,0,0,0,0,3,0,2,0,0,0,0,Brazos
McLennan,Texas,0,0,0,0,0,1,1,0,9,0,0,0,0,McLennan
Johnson,Texas,0,0,0,0,0,0,2,0,5,0,0,0,0,Johnson
Parker,Texas,0,0,0,0,0,0,1,0,5,0,0,0,0,Parker
Wise,Texas,0,0,0,0,0,0,1,0,4,0,0,0,0,Wise
Williamson,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Williamson
Ellis,Texas,0,0,0,0,0,0,1,0,3,0,0,0,0,Ellis
Dallas,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Dallas
Fannin,Texas,0,0,0,0,0,0,1,0,3,0,0,0,0,Fannin
La Salle,Texas,0,0,0,0,0,0,4,0,1,4,0,0,0,La Salle
Dimmit,Texas,0,0,0,0,0,0,5,0,2,0,0,0,0,Dimmit
Robertson,Texas,0,0,0,0,0,0,6,0,4,0,0,0,0,Robertson
Freestone,Texas,0,0,0,0,0,0,3,0,1,0,0,0,0,Freestone
Henderson,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Henderson
Smith,Texas,0,0,0,0,0,0,1,2,3,0,0,0,0,Smith
Wood,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,Wood
Titus,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Titus
Bowie,Texas,0,0,0,0,0,0,0,0,4,0,0,0,0,Bowie
Nacogdoches,Texas,0,0,0,0,0,0,5,0,4,0,0,0,0,Nacogdoches
Rusk,Texas,0,0,0,0,0,0,1,1,2,0,0,0,0,Rusk
Camp,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Camp
Red River,Texas,0,0,0,0,0,0,2,0,0,0,0,0,0,Red River
Brewster,Texas,0,0,0,0,0,0,3,0,2,0,0,0,0,Brewster
Presidio,Texas,0,0,0,0,0,0,0,0,3,0,0,0,0,Presidio
Hudspeth,Texas,0,0,0,0,0,0,1,0,3,0,0,0,0,Hudspeth
Grimes,Texas,0,0,0,0,0,0,3,0,5,0,0,0,0,Grimes
Madison,Texas,0,0,0,0,0,0,2,0,1,0,0,0,0,Madison
Navarro,Texas,0,0,0,0,0,0,0,0,3,0,0,0,0,Navarro
Kaufman,Texas,0,0,0,0,0,0,0,0,3,0,0,0,0,Kaufman
Hunt,Texas,0,0,0,0,0,0,0,0,3,0,0,0,0,Hunt
El Paso,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,El Paso
Fayette,Texas,0,0,0,0,0,1,1,0,1,0,0,0,0,Fayette
Coryell,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Coryell
Comanche,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Comanche
Eastland,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Eastland
Shackelford,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Shackelford
Knox,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Knox
Foard,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Foard
Leon,Texas,0,0,0,0,0,0,0,0,7,0,0,0,0,Leon
Gregg,Texas,0,0,0,0,0,0,0,1,1,0,0,0,0,Gregg
Maverick,Texas,0,0,0,0,0,0,1,0,2,0,0,0,0,Maverick
Cass,Texas,0,0,0,0,0,0,0,0,3,0,0,0,0,Cass
Rains,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Rains
Lamar,Texas,0,0,0,0,0,0,0,0,3,0,0,0,0,Lamar
Bandera,Texas,0,0,0,0,0,1,0,0,1,0,0,0,0,Bandera
Sutton,Texas,0,0,0,0,0,0,1,0,0,1,0,0,0,Sutton
Crockett,Texas,0,0,0,0,0,0,1,0,0,1,0,0,0,Crockett
Upton,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Upton
Ector,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Ector
Winkler,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Winkler
Hill,Texas,0,0,0,0,0,0,1,0,4,0,0,0,0,Hill
Hood,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Hood
Palo Pinto,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Palo Pinto
Jack,Texas,0,0,0,0,0,0,0,0,3,0,0,0,0,Jack
Montague,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Montague
Hopkins,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,Hopkins
San Jacinto,Texas,0,0,0,0,0,0,3,0,8,0,0,0,0,San Jacinto
Limestone,Texas,0,0,0,0,0,0,1,0,6,0,0,0,0,Limestone
Rockwall,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Rockwall
Travis,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,Travis
Jeff Davis,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Jeff Davis
Culberson,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Culberson
Hays,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Hays
Clay,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Clay
Upshur,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Upshur
Reagan,Texas,0,0,0,0,0,0,0,0,1,2,0,0,0,Reagan
Nolan,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Nolan
Haskell,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Haskell
Young,Texas,0,0,0,0,0,0,0,0,10,0,0,0,0,Young
Choctaw,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Choctaw
Kerr,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Kerr
Midland,Texas,0,0,0,0,0,0,0,0,0,1,0,0,0,Midland
Martin,Texas,0,0,0,0,0,0,0,0,0,2,0,0,0,Martin
Borden,Texas,0,0,0,0,0,0,0,0,0,1,0,0,0,Borden
Garza,Texas,0,0,0,0,0,0,0,0,0,1,0,0,0,Garza
Crosby,Texas,0,0,0,0,0,0,0,0,0,1,0,0,0,Crosby
Motley,Texas,0,0,0,0,0,0,0,0,0,1,0,0,0,Motley
Hall,Texas,0,0,0,0,0,0,0,0,0,1,0,0,0,Hall
Collingsworth,Texas,0,0,0,0,0,0,0,0,0,1,0,0,0,Collingsworth
Mason,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Mason
McCulloch,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,McCulloch
Coleman,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Coleman
Callahan,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Callahan
Throckmorton,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Throckmorton
Archer,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Archer
Calhoun,Florida,0,1,0,0,0,1,9,0,0,1,0,0,0,Calhoun
Pinellas,Florida,1,1,0,0,0,2,4,0,4,1,0,0,0,Pinellas
Hillsborough,Florida,2,2,0,0,0,4,8,0,7,0,0,1,0,Hillsborough
Polk,Florida,10,1,0,0,0,13,26,0,25,0,1,0,0,Polk
Osceola,Florida,8,0,0,0,0,8,11,1,5,0,1,0,1,Osceola
Brevard,Florida,0,1,0,0,0,1,10,1,6,0,0,0,0,Brevard
Jefferson,Florida,3,0,0,0,0,3,7,0,4,0,2,0,0,Jefferson
DeSoto,Florida,0,1,0,0,0,1,4,0,1,0,0,0,0,DeSoto
Okeechobee,Florida,1,3,0,0,0,5,13,0,3,0,0,0,1,Okeechobee
Levy,Florida,0,1,0,0,0,1,10,1,6,0,0,0,0,Levy
Alachua,Florida,1,0,0,0,0,2,8,0,4,0,0,0,0,Alachua
Union,Florida,1,0,0,0,0,2,3,1,1,0,0,0,0,Union
Baker,Florida,1,0,0,0,0,0,4,0,2,0,0,0,0,Baker
Santa Rosa,Florida,1,1,0,0,0,2,10,1,6,0,0,0,0,Santa Rosa
Washington,Florida,2,0,0,0,0,2,3,0,3,0,0,0,0,Washington
Miami-Dade,Florida,12,1,2,2,0,17,15,1,18,1,0,0,0,Miami-Dade
Collier,Florida,4,8,4,1,0,17,13,1,8,3,0,0,0,Collier
Broward,Florida,3,0,2,0,0,5,7,0,3,0,0,0,0,Broward
Palm Beach,Florida,7,3,4,1,0,15,22,0,12,0,0,0,1,Palm Beach
Glades,Florida,1,1,1,0,0,3,11,1,4,0,0,0,0,Glades
Highlands,Florida,2,1,0,0,0,3,5,1,10,0,0,0,0,Highlands
Hernando,Florida,4,0,0,0,0,4,9,0,1,0,0,0,0,Hernando
Sumter,Florida,2,0,0,0,0,2,4,0,6,0,0,0,0,Sumter
Volusia,Florida,5,0,0,0,0,6,11,1,9,1,2,0,0,Volusia
Bradford,Florida,1,0,0,0,0,1,1,0,0,0,0,0,0,Bradford
Escambia,Florida,0,2,0,0,0,3,6,0,4,0,0,0,0,Escambia
Hendry,Florida,0,1,1,0,0,2,15,0,5,0,0,0,0,Hendry
Charlotte,Florida,3,1,0,1,0,5,8,0,2,0,0,0,0,Charlotte
Orange,Florida,4,0,0,0,0,4,5,0,1,1,1,0,0,Orange
Leon,Florida,1,0,0,0,0,1,6,0,3,0,0,0,0,Leon
Walton,Florida,2,1,0,0,0,3,10,3,6,0,0,0,0,Walton
Indian River,Florida,1,1,0,0,0,3,3,0,5,0,0,0,0,Indian River
Pasco,Florida,7,1,0,0,0,8,11,0,4,1,0,0,0,Pasco
Franklin,Florida,2,1,0,0,0,3,6,0,0,0,0,0,0,Franklin
Bay,Florida,3,1,1,1,0,7,9,1,1,1,0,0,0,Bay
Okaloosa,Florida,3,3,2,0,0,9,6,2,6,0,0,0,0,Okaloosa
Gulf,Florida,4,1,1,0,0,7,2,0,1,0,0,0,0,Gulf
Martin,Florida,2,3,2,0,0,7,11,0,3,0,0,0,1,Martin
Monroe,Florida,3,1,0,2,0,6,13,0,6,0,0,0,0,Monroe
Dixie,Florida,1,0,0,0,0,1,11,0,1,0,0,0,0,Dixie
Gilchrist,Florida,1,0,1,0,0,2,4,0,0,0,0,0,0,Gilchrist
Clay,Florida,2,0,0,0,0,2,6,0,3,1,0,0,0,Clay
Flagler,Florida,4,0,0,0,0,4,9,1,3,0,1,0,0,Flagler
Gadsden,Florida,1,1,0,0,0,2,7,1,6,0,0,0,0,Gadsden
St. Lucie,Florida,2,4,0,0,0,6,6,0,2,0,0,0,0,St. Lucie
Lake,Florida,6,0,0,0,0,5,12,0,8,0,1,1,0,Lake
Marion,Florida,8,0,0,0,0,8,13,1,11,2,0,0,0,Marion
Nassau,Florida,0,0,0,0,0,0,8,0,0,0,0,0,0,Nassau
Lafayette,Florida,0,0,0,0,0,0,8,0,2,0,0,0,0,Lafayette
Columbia,Florida,0,0,0,0,0,0,4,0,3,0,0,0,0,Columbia
Hamilton,Florida,0,0,0,0,0,1,4,0,5,0,1,1,0,Hamilton
Seminole,Florida,0,0,0,0,0,0,3,0,1,0,0,0,0,Seminole
Madison,Florida,1,0,0,0,0,1,5,0,7,0,0,0,0,Madison
Jackson,Florida,0,0,0,0,0,2,5,1,2,2,0,0,0,Jackson
Liberty,Florida,3,1,0,0,0,4,2,0,2,0,0,0,0,Liberty
Putnam,Florida,1,0,0,0,0,1,9,0,5,1,0,0,0,Putnam
Lee,Florida,0,2,0,0,0,2,9,0,1,0,0,0,0,Lee
Sarasota,Florida,0,0,0,0,0,0,1,0,3,0,0,0,0,Sarasota
Citrus,Florida,1,0,0,0,0,2,4,0,4,1,0,0,0,Citrus
Suwannee,Florida,1,0,0,0,0,1,7,0,2,0,0,0,0,Suwannee
Holmes,Florida,2,0,0,0,0,3,3,0,3,0,0,0,0,Holmes
Duval,Florida,1,0,0,0,0,1,10,0,2,0,1,0,0,Duval
Wakulla,Florida,3,0,0,0,0,3,10,0,2,0,0,0,0,Wakulla
Taylor,Florida,1,1,0,0,0,2,10,0,2,0,1,0,0,Taylor
Manatee,Florida,1,0,0,0,0,1,5,0,3,0,0,0,0,Manatee
Hardee,Florida,4,1,0,0,0,5,3,0,3,0,0,0,0,Hardee
St. Johns,Florida,0,0,0,0,0,0,2,0,1,0,1,1,0,St. Johns
Seminole,Georgia,2,0,1,0,0,3,1,0,1,0,0,0,0,Seminole
Baker,Georgia,1,0,0,0,0,1,4,0,2,0,0,0,0,Baker
Worth,Georgia,1,0,0,0,0,1,5,1,3,0,0,0,0,Worth
Wilcox,Georgia,0,0,0,0,0,1,3,0,4,0,0,0,0,Wilcox
Laurens,Georgia,0,0,0,0,0,1,4,1,0,0,1,0,0,Laurens
Burke,Georgia,0,0,0,0,0,0,8,1,2,0,0,0,0,Burke
Talbot,Georgia,0,0,0,0,0,0,2,0,1,0,0,0,0,Talbot
Jones,Georgia,1,0,0,0,0,1,1,0,2,1,0,0,0,Jones
Jefferson,Georgia,0,0,0,0,0,0,1,0,4,0,1,0,0,Jefferson
McDuffie,Georgia,0,0,0,0,0,0,1,0,0,0,0,0,0,McDuffie
Berrien,Georgia,1,0,0,0,0,1,4,0,3,0,0,0,0,Berrien
Toombs,Georgia,0,0,0,0,0,1,3,0,0,0,0,0,0,Toombs
Charlton,Georgia,0,1,0,0,0,1,7,2,2,0,1,1,0,Charlton
Wayne,Georgia,1,0,0,0,0,1,5,0,4,0,0,0,0,Wayne
Liberty,Georgia,2,0,0,0,0,2,3,0,2,0,0,0,0,Liberty
McIntosh,Georgia,2,0,0,0,0,2,4,1,2,0,0,0,0,McIntosh
Bryan,Georgia,2,0,0,0,0,2,8,1,3,0,0,0,0,Bryan
Bulloch,Georgia,2,0,0,0,0,3,6,2,5,0,1,0,0,Bulloch
Emanuel,Georgia,1,0,0,0,0,1,8,0,3,0,2,0,0,Emanuel
Chatham,Georgia,2,4,0,0,0,6,1,0,1,0,0,0,0,Chatham
Effingham,Georgia,2,0,0,0,0,3,3,1,3,0,1,0,0,Effingham
Screven,Georgia,1,0,0,0,0,1,5,2,2,0,0,0,0,Screven
Dougherty,Georgia,1,0,0,0,0,1,2,0,2,0,0,0,0,Dougherty
Treutlen,Georgia,0,0,0,0,0,0,4,1,0,0,0,0,0,Treutlen
Meriwether,Georgia,0,0,0,0,0,0,3,0,4,0,0,0,0,Meriwether
Walton,Georgia,0,0,0,0,0,0,1,0,4,0,0,0,0,Walton
Early,Georgia,0,0,0,0,0,0,4,0,4,1,0,0,0,Early
Irwin,Georgia,0,0,0,0,0,0,3,1,0,0,1,0,0,Irwin
Bacon,Georgia,1,0,0,0,0,1,4,0,1,0,0,0,0,Bacon
Long,Georgia,0,0,0,0,0,0,4,1,4,0,0,0,0,Long
Evans,Georgia,1,0,0,0,0,1,1,0,0,0,0,0,0,Evans
Telfair,Georgia,2,0,0,0,0,2,4,2,1,0,0,0,0,Telfair
Candler,Georgia,0,0,0,0,0,0,3,0,1,0,1,0,0,Candler
Pulaski,Georgia,0,0,0,0,0,0,0,0,1,0,0,0,0,Pulaski
Decatur,Georgia,1,0,0,0,0,1,6,1,3,0,0,0,0,Decatur
Thomas,Georgia,2,0,0,0,0,3,3,0,0,0,1,0,0,Thomas
Jeff Davis,Georgia,0,0,0,0,0,0,1,0,2,0,0,0,0,Jeff Davis
Tattnall,Georgia,0,0,0,0,0,0,3,1,2,0,0,0,0,Tattnall
Clinch,Georgia,1,0,0,0,0,1,6,0,2,0,0,0,0,Clinch
Camden,Georgia,0,1,0,0,0,1,7,1,3,0,1,0,0,Camden
Brantley,Georgia,0,0,0,0,0,0,5,0,3,0,0,0,0,Brantley
Ware,Georgia,0,0,0,0,0,0,9,1,2,0,0,0,0,Ware
Atkinson,Georgia,0,0,0,0,0,0,4,0,4,0,0,0,0,Atkinson
Colquitt,Georgia,0,0,0,0,0,1,5,0,2,0,1,0,0,Colquitt
Mitchell,Georgia,0,0,0,0,0,0,6,1,1,0,0,0,0,Mitchell
Calhoun,Georgia,1,0,0,0,0,1,1,0,3,1,0,0,0,Calhoun
Randolph,Georgia,0,0,0,0,0,0,1,0,3,0,0,0,0,Randolph
Stewart,Georgia,0,0,0,0,0,0,1,0,3,1,0,0,0,Stewart
Muscogee,Georgia,0,0,0,0,0,0,1,0,2,1,0,0,0,Muscogee
Harris,Georgia,0,0,0,0,0,0,0,0,2,2,0,0,0,Harris
Lamar,Georgia,0,0,0,0,0,0,0,0,1,0,0,0,0,Lamar
Butts,Georgia,0,0,0,0,0,0,1,0,3,0,0,0,0,Butts
Jasper,Georgia,0,0,0,0,0,0,1,0,1,0,0,0,0,Jasper
Putnam,Georgia,0,0,0,0,0,0,1,0,1,1,0,0,0,Putnam
Hancock,Georgia,0,0,0,0,0,0,0,0,3,1,0,0,0,Hancock
Warren,Georgia,0,0,0,0,0,0,0,0,3,0,0,0,0,Warren
Columbia,Georgia,0,0,0,0,0,0,0,1,2,0,0,0,0,Columbia
Echols,Georgia,0,0,0,0,0,0,1,0,1,0,0,0,0,Echols
Appling,Georgia,0,0,0,0,0,0,3,1,1,0,0,0,0,Appling
Coffee,Georgia,1,0,0,0,0,2,5,0,2,0,0,0,0,Coffee
Pierce,Georgia,0,0,0,0,0,0,5,0,1,0,0,0,0,Pierce
Glynn,Georgia,1,0,0,0,0,1,3,0,0,0,0,0,0,Glynn
Jackson,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,Jackson
Grady,Georgia,1,0,0,0,0,1,2,1,0,0,0,0,0,Grady
Brooks,Georgia,0,0,0,0,0,0,7,1,2,0,0,0,0,Brooks
Lanier,Georgia,0,0,0,0,0,0,3,1,0,0,0,0,0,Lanier
Tift,Georgia,2,0,0,0,0,2,2,1,2,0,1,0,0,Tift
Houston,Georgia,0,0,0,0,0,1,1,0,2,0,0,0,0,Houston
Marion,Georgia,0,0,0,0,0,0,1,0,2,0,0,0,0,Marion
Crawford,Georgia,0,0,0,0,0,0,3,0,1,0,0,0,0,Crawford
Greene,Georgia,0,0,0,0,0,0,1,0,0,0,0,0,0,Greene
Wilkes,Georgia,0,0,0,0,0,0,1,0,3,0,0,0,0,Wilkes
Washington,Georgia,0,0,0,0,0,0,1,0,2,0,0,0,0,Washington
Webster,Georgia,0,0,0,0,0,0,1,0,1,0,0,0,0,Webster
Sumter,Georgia,0,0,0,0,0,0,1,0,1,0,0,0,0,Sumter
Dooly,Georgia,1,0,0,0,0,1,0,0,3,0,0,0,0,Dooly
Dodge,Georgia,0,0,0,0,0,0,4,1,1,0,1,0,0,Dodge
Clay,Georgia,0,0,0,0,0,0,1,0,1,1,0,0,0,Clay
Johnson,Georgia,0,0,0,0,0,0,1,0,3,0,0,0,0,Johnson
Lowndes,Georgia,1,0,0,0,0,1,7,0,4,0,0,0,0,Lowndes
Taliaferro,Georgia,0,0,0,0,0,0,2,0,2,0,0,0,0,Taliaferro
Troup,Georgia,0,0,0,0,0,0,2,0,7,1,0,0,0,Troup
Taylor,Georgia,0,0,0,0,0,0,1,0,0,0,1,0,0,Taylor
Oglethorpe,Georgia,0,0,0,0,0,0,1,0,2,0,0,0,0,Oglethorpe
Wilkinson,Georgia,0,0,0,0,0,0,2,0,1,0,1,0,0,Wilkinson
Twiggs,Georgia,0,0,0,0,0,0,2,0,1,0,0,0,0,Twiggs
Monroe,Georgia,0,0,0,0,0,0,2,0,3,0,0,0,0,Monroe
Pike,Georgia,0,0,0,0,0,0,1,0,0,0,0,0,0,Pike
Heard,Georgia,0,0,0,0,0,0,1,0,1,0,0,0,0,Heard
Floyd,Georgia,0,0,0,0,0,0,1,1,2,0,0,0,0,Floyd
Upson,Georgia,0,0,0,0,0,0,1,0,1,0,0,0,0,Upson
